TextType,MaxLength,Format,SheetInfo,CopyFromSelectedSheet,ChangeableByScriptOnly,CanModify,CanHide,CanModifyInivisible,DatabaseField,SystemDefined,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_86,TEXTNAME_31,TEXTNAME_44,TEXTNAME_33,TEXTNAME_49,TEXTNAME_39,TEXTNAME_81,TEXTNAME_351,TEXTNAME_07,TEXTNAME_34,TEXTNAME_90,TEXTNAME_48
2,80,,0,0,0,-1,-1,0,,0,0,0,注释,commentaar,Comment,Commentaire,Kommentar,Commento,注釈,Comentário,Комментарий,Comentario,Açıklama,Komentarz
11,0,,0,0,0,-1,-1,0,,-1,0,0,Text fix,tekst fix,Text fix,Texte fixe,Text fix,Testo fisso,テキスト - 固定,Texto fixo,Text fix,Texto fijo,Metin düzeltme,Tekst stały
13,0,,0,0,0,-1,-1,0,,0,0,0,正文变量,tekst - variabel,Text variable,Texte - variable,Text - variabel,Testo - variabile,テキスト変数,Variável de texto,Надпись - переменная,Texto variable,Metin değişkeni,Tekst zmienny
20,40,,-1,0,0,-1,-1,0,,0,0,0,绘图通过,getekend door,Drawn by,Créateur du dessin,Erstellt durch,Disegnato da,作図者,Desenhado por,Исполнитель,Creador del dibujo,Çizen,Stworzony przez
21,20,,-1,-1,0,-1,-1,0,,0,0,0,文档号码,documentnummer,Document number,Numéro du document,Unterlagennummer,Numero documento,ドキュメント番号,Número do documento,Номер документа,Número del documento,Belge numarası,Numer dokumentu
22,50,,-1,-1,0,-1,-1,0,,0,0,0,客户,klant,Customer,Client,Auftraggeber,Cliente,顧客,Cliente,Заказчик,Cliente,Müşteri,Klient
23,20,,-1,-1,0,-1,-1,0,,0,0,0,绘图号码,tekeningnumber,Drawing number,Numéro du dessin,Zeichnungsnummer,Numero disegno,図面番号,Número do desenho,Номер чертежа,Número del dibujo,Çizim numarası,Numer rysunku
25,15,,-1,0,0,-1,-1,0,,0,0,0,特殊评论,speciale nota,Special note,Note spéciale,Sondervermerk,Note particolari,特記事項,Nota especial,Замечание,Nota especial,Özel not,Specjalna notatka
27,6,,-1,0,0,-1,-1,0,,0,0,0,发行,editie,Issue,Edition,Änderungszustand,Stato modifica,発行,Versão,Редакция,Tema,Düzenlemek,Problem
28,10,,-1,0,0,-1,-1,0,,0,0,0,改变,wijziging,Change,Modification,Änderung,Modifica,変更,Alteração,Изменение,Cambio,Değişiklik,Zmiana
29,10,,-1,0,0,-1,-1,0,,0,0,0,修改日期,wijzigingsdatum,Date of modification,Date de modification,Änderungsdatum,Data di modifica,変更日,Data de modificação,Дата изменения,Fecha de modificación,Değişiklik tarihi,Data modyfikacji
30,6,,-1,0,0,-1,-1,0,,0,0,0,修改通过,gewijzigd door,Modified by,Responsable de la modification,Änderungsbearbeiter,Modificato da,変更者,Modificado por,Изменено,Responsable de la modificación,Değiştiren,Zmodyfikowany przez
33,50,,-1,0,0,-1,-1,0,,0,0,0,功能,functie,Function,Fonction,Funktion,Funzione,機能,Função,Функция,Función,Fonksiyon,Funkcja
36,15,,-1,0,0,-1,-1,0,,0,0,0,原点,oorsprong,Origin,Origine,Ursprung,Origine,原点,Origem,Точка привязки,Origen,Orijin,Źródło
37,15,,-1,0,0,-1,-1,0,,0,0,0,置换,vervangt,Replaces,Remplace,Ersatz für,Sostituisce,交換,Substituído,Замены,Reemplazos,Yerine,Zastępuje
38,15,,-1,0,0,-1,-1,0,,0,0,0,置换通过,vervangen door,Replaced by,Remplacé par,Ersetzt durch,Sostituito da,交換者,Substituído por,Заменено,Reemplazado por,İle değiştirilmiştir ,Zastępowany przez
40,30,,-1,-1,0,-1,-1,0,SheetName1,0,0,0,名称1,naam 1,Name 1,Nom 1,Benennung 1,Denominazione 1,名称1,Nome 1,Имя 1,Nombre 1,İsim 1,Nazwa 1
41,10,,-1,0,0,-1,-1,0,,0,0,0,修改日期 (1),wijzigingsdatum (1),Date of modification (1),Date de modification (1),Bearbeitungsdatum,Data di editazione,変更日 (1),Data de modificação (1),Дата изменения (1),Fecha de modificación (1),Değişiklik tarihi (1),Data modyfikacji (1)
42,15,,-1,0,0,-1,-1,0,,0,0,0,用户,gebruiker,User,Utilisateur,Bearbeiter,Utente,ユーザ,Usuário,Выполнил,Usuario,Kullanıcı,Użytkownik
43,15,,-1,0,0,-1,-1,0,,0,0,0,赞成,goedgekeurd,Approved,Approuvé,Geprüft,Approvato,承認,Aprovado,Утвердил,Aprobado,Onaylanmış,Zatwierdził
44,15,,-1,0,0,-1,-1,0,,0,0,0,标准,norm,Standard,Norme,Norm,Normativa,標準,Padrão,Стандарт,Estándar,Standart,Standard
45,0,,0,0,0,-1,-1,0,,0,0,0,项目,project,Project,Projet,Projekt,Progetto,プロジェクト,Projeto,Проект,Proyecto,Proje,Projekt
46,50,,-1,-1,0,-1,-1,0,,0,0,0,订货编号,opdrachtnummer,Order number,Numéro d'ordre,Auftragsnummer,Numero ordine,注文番号,Número da ordem,Номер заказа,Número de pedido,Düzen numarası,Numer zamówienia
47,50,,-1,-1,0,-1,-1,0,,0,0,0,订货,opdracht,Order,Ordre,Auftrag,Ordine,注文,Ordem,Заказ,Pedido,Düzen,Zamówienie
48,25,,-1,-1,0,-1,-1,0,SheetName2,0,0,0,名称2,naam 2,Name 2,Nom 2,Benennung 2,Denominazione 2,名称2,Nome 2,Имя 2,Nombre 2,İsim 2,Nazwa 2
49,0,,-1,0,0,-1,-1,0,,0,0,0,备用,reserve,Reserve,Réserve,Reserve,Riserva,予備,Reserva,Резервная,Reserva,Yedek,Rezerwa
50,50,,0,0,0,-1,-1,0,Techdat1,0,0,0,技术数据1,technische gegevens 1,Technical data 1,Données techniques 1,Technische Daten 1,Dati tecnici 1,技術データ1,Dado técnico 1,Тех.информация 1,Datos técnicos 1,Teknik veri 1,Dane techniczne 1
51,50,,0,0,0,-1,-1,0,Techdat2,0,0,0,技术数据2,technische gegevens 2,Technical data 2,Données techniques 2,Technische Daten 2,Dati tecnici 2,技術データ2,Dado técnico 2,Тех.информация 2,Datos técnicos 2,Teknik veri 2,Dane techniczne 2
52,50,,0,0,0,-1,-1,0,Techdat3,0,0,0,技术数据3,technische gegevens 3,Technical data 3,Données techniques 3,Technische Daten 3,Dati tecnici 3,技術データ3,Dado técnico 3,Тех.информация 3,Datos técnicos 3,Teknik veri 3,Dane techniczne 3
53,0,,0,0,0,0,0,0,Techdat4,0,0,0,技术数据4,technische gegevens 4,Technical data 4,Données techniques 4,Technische Daten 4,Dati tecnici 4,技術データ4,Dado técnico 4,Тех.информация 4,Datos técnicos 4,Teknik veri 4,Dane techniczne 4
70,60,,0,0,0,-1,-1,0,.PLCPHYSADDR,0,0,0,PLC-物理地址,PLC - fysisch adres,PLC - Physical address,API - Adresse physique,SPS - Physikalische Adresse,PLC - indirizzo fisico,PLC - 物理アドレス,PLC - Endereço Físico,ПК (PLC) - Физический адрес,Dirección física-PLC,PLC - Fiziksel adres,PLC - Adres fizyczny
71,60,,0,0,0,-1,-1,0,PlcSymbAdr,0,0,0,PLC-符号地址,PLC - symbolisch adres,PLC - Symbolic address,API - Adresse symbolique,SPS - Symbolische Adresse,PLC - indirizzo simbolico,PLC - シンボリックアドレス,PLC - Endereço Simbólico,ПК (PLC) - Символьный адрес,Dirección simbólica-PLC,PLC - Sembolik adres,PLC - Adres symboliczny
72,60,,0,0,0,-1,-1,0,PlcComment,0,0,0,PLC-注释1,PLC - commentaar 1,PLC - Comment 1,API - Commentaire 1,SPS - Kommentar 1,PLC - commento 1,PLC - 注釈1,PLC - Comentário 1,ПК (PLC) - Комментарий 1,PLC-Comentario 1,PLC - Yorum 1,PLC - Komentarz 1
73,60,,0,0,0,-1,-1,0,PlcComment2,0,0,0,PLC-注释2,PLC - commentaar 2,PLC - Comment 2,API - Commentaire 2,SPS - Kommentar 2,PLC - commento 2,PLC - 注釈2,PLC - Comentário 2,ПК (PLC) - Комментарий 2,PLC-Comentario 2,PLC - Yorum 2,PLC - Komentarz 2
86,0,,0,0,0,0,0,0,Attr4UseFromACPT,0,0,-1,有效针脚端子的使用属性,Attribuut gebruikt door actieve fitting ,Attribute for use from active pin terminal,Attribut pour utilisation par pièce de fixation active,Attribut das vom aktiven Anschlagteil benutzt wird,Attributo dal terminale attivo,アクティブなピンターミナルからの使用属性,,Атрибут для использования из текущего наконечника,,Aktif pin terminalinden kullanım niteliği,Atrybut z aktywnego pinu złacza
220,25,,-1,0,0,0,0,0,,0,0,0,SAP Document Number,SAP document nummer,SAP Document Number,SAP Numéro de document,SAP Dokument Nummer,SAP Numero documento,SAPドキュメント番号,Numero do Documento SAP,Номер документа в SAP,Número de documento SAP,SAP Belge Numarası,Komentarz
221,5,,-1,0,0,0,0,0,,0,0,0,SAP Document Version,SAP document versie,SAP Document Version,SAP Version de document,SAP Dokument Version,SAP Versione documento,SAPドキュメントバージョン,Versão de Documento SAP,Версия документа в SAP,Versión de documento SAP,SAP Belge Sürümü,SAP Numer Dokumentu
222,5,,-1,0,0,0,0,0,,0,0,0,SAP Document Part,SAP document deel,SAP Document Part,SAP Partie de document,SAP Dokument Teil,SAP Parte documento,SAPドキュメントパート,Documento de Componente SAP,Часть документа в SAP,Parte de documento SAP,SAP Belge Bölüm,SAP Wersja Dokumentu
223,5,,-1,0,0,0,0,0,,0,0,0,SAP Document Type,SAP document type,SAP Document Type,SAP Type de document,SAP Dokument Typ,SAP Tipo documento,SAPドキュメントタイプ,Tipo de Documento SAP,Тип документа в SAP,Tipo de documento SAP,SAP Belge Tipi,SAP Część Dokuentu
224,50,,-1,0,0,0,0,0,,0,0,0,SAP Document Description,SAP document beschrijving,SAP Document Description,SAP Description de document,SAP Dokument Beschreibung,SAP Descrizione documento,SAPドキュメント説明,Descrição de Documento SAP,Описание документа в SAP,Descripción de documento SAP,SAP Belge Açıklaması,SAP Typ Dokumentu
225,5,,-1,0,0,0,0,0,,0,0,0,SAP Document Status,SAP document status,SAP Document Status,SAP État de document,SAP Dokument Status,SAP Stato documento,SAPドキュメントステータス,Andamento do Documento SAP,Статус документа в SAP,Estado de documento SAP,SAP Belge Durumu,SAP Opis Dokumentu
226,30,,-1,0,0,0,0,0,,0,0,0,SAP Document Statustext,SAP document statustekst,SAP Document Statustext,SAP Texte d'état de document,SAP Dokument Statustext,SAP Descrizione stato documento,SAPドキュメントステータステキスト,Andamento do texto de Documento SAP,Описание статуса документа в SAP,Texto de estado de documento SAP,SAP Belge MetinDurumu,SAP Status Dokumentu
230,255,,0,0,-1,0,0,0,,0,0,0,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISHeaderChangeCount,rmCISBaşlıkDeğiştirmeSayısı,rmCISHeaderChangeCount
231,255,,0,0,-1,0,0,0,,0,0,0,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISHeaderDevice,rmCISBaşlıkCihaz,rmCISHeaderDevice
232,255,,0,0,-1,0,0,0,,0,0,0,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISHeaderChangeType,rmCISBaşlıkDeğiştirmeTipi,rmCISHeaderChangeType
233,255,,0,0,-1,0,0,0,,0,0,0,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISChangeCount,rmCISDeğişimSayısı,rmCISChangeCount
234,255,,0,0,-1,0,0,0,,0,0,0,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISDevice,rmCISCihaz,rmCISDevice
235,255,,0,0,-1,0,0,0,,0,0,0,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISChangeType,rmCISDeğişimTipi,rmCISChangeType
236,255,,0,0,-1,0,0,0,,0,0,0,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISMoreChanges,rmCISDiğerDeğişiklikler,rmCISMoreChanges
250,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSHeaderChangeNumber,rmCLSBaşlıkDeğişiklikNumarası,rmCLSHeaderChangeNumber
251,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSHeaderPath,rmCLSBaşlıkYol,rmCLSHeaderPath
252,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSHeaderChangeType,rmCLSBaşlıkDeğişiklikTipi,rmCLSHeaderChangeType
253,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSHeaderQuantity,rmCLSBaşlıkMiktar,rmCLSHeaderQuantity
254,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSHeaderMaterial,rmCLSBaşlıkMalzeme,rmCLSHeaderMaterial
255,255,,0,0,-1,0,0,0,,0,0,0,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSHeaderAdditional,rmCLSBaşlıkEk,rmCLSHeaderAdditional
