ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
1,256,0,0,黑,Zwart,Black,Noir,Schwarz,Nero,黒,Preto,черный,Negro,Siyah,Czarny
2,266,0,0,白,Wit,White,Blanc,Weiss,Bianco,白,Branco,белый,Blanco,Beyaz,Biały
3,269,0,0,红,Rood,Red,Rouge,Rot,Rosso,赤,Vermelho,красный,Rojo,Kırmızı,Czerwony
4,270,0,0,绿,Groen,Green,Vert,Grün,Verde,緑,Verde,зеленый,Verde,Yeşil,Zielony
5,286,0,0,棕,Bruin,Brown,Brun,Braun,Marrone,茶,Marrom,коричневый,Marrón,Kahverangi,Brązowy
6,272,0,0,蓝,Blauw,Blue,Bleu,Blau,Blu,青,Azul,голубой,Azul,Mavi,Niebieski
7,313,0,0,橙,Oranje,Orange,Orange,Orange,Arancione,オレンジ,Laranja,оранжевый,Naranja,Turuncu,Pomarańczowy
8,271,0,0,黄,Geel,Yellow,Jaune,Gelb,Giallo,黄色,Amarelo,желтый,Amarillo,Sarı,Żółty
9,261,0,0,紫,Violet,Violet,Violet,Violett,Viola,紫,Violeta,фиолетовый,Violeta,Menekşe rengi,Fioletowy
10,263,0,0,灰,Grijs,Grey,Gris,Grau,Grigio,灰色,Cinza,серый,Gris,Gri,Szary
11,273,0,0,粉,Rose,Pink,Rose,Rosa,Rosa,ピンク,Rosa,розовый,Rosa,Pembe,Różowy
12,319,0,0,金,Goud,Gold,Or,Gold,Oro,金,Dourado,золотистый,Oro,Altınrengi,Złoty
13,456,0,0,青绿,Turkoois,Turquoise,Turquoise,Türkis,Turchese,ターコイズ,Turquesa,бирюзовый,Turquesa,Turkuaz,Turkusowy
14,264,0,0,银,Zilver,Silver,Argent,Silber,Argento,銀,Prata,серебристый,Plata,Gümüş,Srebrny
15,0,5,0,绿-黄,Groen/Geel,Green-Yellow,Vert/Jaune,Grün/Gelb,Verde-Giallo,緑-黄,Verde-Amarelo,желто-зеленый,Verde/Amarillo,Yeşil-Sarı,Żółto-Zielony
16,416,0,0,深蓝,Donkerblauw,Dark blue,Bleu foncé,Dunkelblau,Blu scuro,紺,Azul escuro,синий,Azul oscuro,Koyu Mavi,Ciemnoniebieski
17,,0,1,聚乙烯,Polyethyleen,polyethylene,Polyéthylène,Polyethylen,Polietilene,ポリエチレン,Polietileno,полиэтилен,polyethylene,polietilen,Polietylen
18,0,0,1,塑料,Plastik,plastic,Plastique,Kunststoff,Plastica,プラスチック,Plástico,пластик,plastic,plastik,plastik
19,0,0,1,铜,Koper,copper,Cuivre,Kupfer,Rame,カッパー,Cobre,медный,copper,bakır,miedź
20,0,0,0,透明,Transparent,Transparent,Transparent,Transparent,Trasparente,透明,Transparente,Прозрачный,Transparente,Saydam,Przeźroczysty
21,0,0,0,灰品色,GrijsRoze,GreyPink,GrisRose,GrauRosa,GrigioRosa,グレーピンク,Cinza e Rosa,Серо-розовый,GrisRosa,GriPembe,SzaroRóżowy
22,0,0,0,红蓝色,RoodBlau,RedBlue,RougeBleu,RotBlau,RossoBlu,赤青,Vermelho e Azul,Красно-синий,RojoAzul,KırmızıMavi,CzerwonoNiebieski
23,0,0,0,白绿色,WitGroen,WhiteGreen,BlancVert,WeissGrün,BiancoVerde,白緑,Branco e Verde,Бело-зеленый,BlancoVerde,BeyazYeşil,BiałoZielony
24,0,0,0,棕绿色,BruinGroen,BrownGreen,BrunVert,BraunGrün,MarroneVerde,茶緑,Marrom e Verde,Коричнево-зеленый,MarrónVerde,KahverangiYeşil,BrązowoZielony
25,0,0,0,白黄色,WitGeel,WhiteYellow,BlancJaune,WeissGelb,BiancoGiallo,白黄,Branco e Amarelo,Бело-желтый,BlancoAmarillo,BeyazSarı,BiałoŻółty
26,0,0,0,黄棕色,GeelBruin,YellowBrown,JauneBrun,GelbBraun,GialloMarrone,黄茶,Amarelo e Marrom,Желто-коричневый,AmarilloMarrón,SarıKahverengi,ŻółtoBrązowy
27,0,0,0,灰白色,WitGrijs,WhiteGrey,BlancGris,WeissGrau,BiancoGrigio,白グレー,Branco e Cinza,Серо-коричневый,BlancoGris,BeyazGri,BiałoSzary
28,0,0,0,灰褐色,GrijsBruin,GreyBrown,GrisBrun,GrauBraun,GrigioMarrone,グレー茶,Cinza e Marrom,Серо-коричневый (1),GrisMarrón,GriKahverengi,SzaroBrązowy
29,0,0,0,白品色,WitRoze,WhitePink,BlancRose,WeissRosa,BiancoRosa,白ピンク,Branco e Rosa,Бело-розовый,BlancoRosa,BeyazPembe,BiałoRóżowy
30,0,0,0,品棕色,RozeBruin,PinkBrown,RoseBrun,RosaBraun,ViolaMarrone,ピンク茶,Rosa e Marrom,Розово-коричневый,RosaMarrón,PembeKahverengi,RóżowoBrązowy
31,0,0,0,白蓝色,WitBlau,WhiteBlue,BlancBleu,WeissBlau,BiancoBlu,白青,Branco e Azul,Бело-синий,BlancoAzul,BeyazMavi,BiałoNiebieski
32,0,0,0,棕蓝色,BruinBlau,BrownBlue,BrunBleu,BraunBlau,MarroneBlu,茶青,Marrom e Azul,Коричнево-синий,MarrónAzul,KahverengiMavi,BrazowoNiebieski
33,0,0,0,白红色,WitRood,WhiteRed,BlancRouge,WeissRot,BiancoRosso,白赤,Branco e Vermelho,Бело-красный,BlancoRojo,BeyazKırmızı,BiałoCzerwony
