ID,COPY,VALUE
1,1,all
1,2,admin
2,1,DT04-3P-W3P ; # DT-parts; wedge receptacle; 3 way | DT-Zusatzteile; Verriegelung Stiftgehäuse; 3 polig
2,2,DT04-3P-BS-90 ; # DT-parts; Backshell 90°; receptacle 3 way | DT-Zusatzteile; Endkappe 90°; Stiftgehäuse 3 polig
2,3,DT04-3P-BS-180 ; # DT-parts; Backshell 180°; receptacle 3 way | DT-Zusatzteile; Endkappe 180°; Stiftgehäuse 3 polig
2,4,DT04-4P-W4P ; # DT-parts; wedge receptacle; 4 way | DT-Zusatzteile; Verriegelung Stiftgehäuse; 4 polig
2,5,DT04-4P-BS-90 ; # DT-parts; Backshell 90°; receptacle 4 way | DT-Zusatzteile; Endkappe 90°; Stiftgehäuse 4 polig
2,6,DT04-4P-BS-180 ; # DT-parts; Backshell 180°; receptacle 4 way | DT-Zusatzteile; Endkappe 180°; Stiftgehäuse 4 polig
3,1,BB
3,2,BS
3,3,DH
3,4,GA
3,5,PG
3,6,PG/BB
3,7,RS
3,8,UP
3,9,VS
3,10,WJ
4,1,D
4,2,DC
4,3,DI
4,4,DIA
4,5,DIC
4,6,DICA
4,7,DIRCA
4,8,DIRSA
4,9,DISA
4,10,F
4,11,FC
4,12,FI
4,13,FIA
4,14,FIC
4,15,FICA
4,16,FIRCA
4,17,FIRSA
4,18,FISA
4,19,FZAL
4,20,G
4,21,GC
4,22,GI
4,23,GIA
4,24,GIC
4,25,GICA
4,26,GIRCA
4,27,GIRSA
4,28,GISA
4,29,H
4,30,HC
4,31,HI
4,32,HIA
4,33,HIC
4,34,HICA
4,35,HIRCA
4,36,HIRSA
4,37,HISA
4,38,K
4,39,KC
4,40,KI
4,41,KIA
4,42,KIC
4,43,KICA
4,44,KIRCA
4,45,KIRSA
4,46,KISA
4,47,LI
4,48,LS
4,49,LT
4,50,LZAH
4,51,LZAL
4,52,M
4,53,MC
4,54,MI
4,55,MIA
4,56,MIC
4,57,MICA
4,58,MIRCA
4,59,MIRSA
4,60,MISA
4,61,P
4,62,PC
4,63,PI
4,64,PIA
4,65,PIC
4,66,PICA
4,67,PIRCA
4,68,PIRSA
4,69,PISA
4,70,PDI
4,71,PDZAH
4,72,PDZAL
4,73,PISHL
4,74,PIT
4,75,PS
4,76,PSH
4,77,PSL
4,78,PT
4,79,PZAH
4,80,PZH
4,81,PZHH
4,82,Q
4,83,QC
4,84,QI
4,85,QIA
4,86,QIC
4,87,QICA
4,88,QIRCA
4,89,QIRSA
4,90,QISA
4,91,S
4,92,SC
4,93,SI
4,94,SIA
4,95,SIC
4,96,SICA
4,97,SIRCA
4,98,SIRSA
4,99,SISA
4,100,T
4,101,TC
4,102,TI
4,103,TIA
4,104,TIC
4,105,TICA
4,106,TIRCA
4,107,TIRSA
4,108,TISA
4,109,TIR
4,110,TISHL
4,111,TIT
4,112,TSHL
4,113,TT
4,114,TZAH
4,115,TZAL
4,116,V
4,117,VC
4,118,VI
4,119,VIA
4,120,VIC
4,121,VICA
4,122,VIRCA
4,123,VIRSA
4,124,VISA
4,125,W
4,126,WC
4,127,WI
4,128,WIA
4,129,WIC
4,130,WICA
4,131,WIRCA
4,132,WIRSA
4,133,WISA
5,1,Undefined
5,2,CANbus
5,3,DeviceNet
5,4,EtherCAT
5,5,Ethernet
5,6,FoundationFieldbus
5,7,LocalBus
5,8,X2X
5,9,Powerlink
5,10,USB
5,11,ProfiNet
5,12,ProfiBus
