TableName,ColumnName,English,German,French,Chinese,Dutch,Italian,Japanese,Polski,Portuguese,Russian,Spanish,Turkish
ComponentData,ArticleNumber,Article number,Artikelnummer,Numéro d'article,,artikelnummer,Numero articolo,商品番号,Numer artykułu,Número de artigo,Номер по каталогу,Nº del artículo,Ürün numarası
ComponentData,Class,Class,Klasse,Classe,,klasse,Classe,クラス,Klasa,Classe,Класс,Clase,Klas
ComponentData,Class-main,Main Class,Hauptklasse,Classe principale,,hoofdklasse,Classe principale,メインクラス,Główna klasa,Classe Principal,Основной класс,Clase principal,Ana Klas
ComponentData,DATEMAIN,Date,Datum,Date,,datum,Data,日付,Data,Data,Дата создания,Fecha,Tarih
ComponentData,Description,Description,Beschreibung,Description,,beschrijving,Descrizione,表記,Opis,Descrição,Наименование,Descripción,Açıklama
ComponentData,DeviceLetterCode,Device letter code,Kennbuchstabe,Code alphab. d'appareil,,identificatie code,Lettera identificativa,デバイス文字コード,Kod literowy,Identificador único de dispositivo,Код изделия,Código letra dispositivo,Cihaz harf kodu
ComponentData,ENTRY,Component name,Bauteilname,Nom de composant,,component naam,Nome componente,コンポーネント名,DaneKomponentu,Nome de componente,Имя изделия,Nombre del componente,Bileşen adı
ComponentData,ENTRYTYP,Component type,Bauteiltyp,Type de composant,,component type,Tipo componente,Component type,Typ komponentu,Component type,Тип изделия в БД,Tipo de componente,Bileşen tipi
ComponentData,LASTUPDT,Modification date,Änderungsdatum,Date de modification,,modificatie datum,Dato di modificazione,Modification date,Data modyfikacji,Modification date,Дата изменения,Fecha de modificación,Değişiklik tarihi
ComponentData,Supplier,Supplier,Hersteller,Fournisseur,,producent,Produttore,サプライヤ,Dostawca,Fornecedor,Поставщик,Proveedor,Üretici
ComponentData,VERSION,Version,Version,Version,,versie,Versione,バージョン,Wersja,Versão,Версия,Versión,Sürüm
ComponentData,VersionText,Version text,Versionstext,Texte de version,,versietekst,Testo versione,バージョンテキスト,Tekst wersji,Texto de versão,Надпись версии,Texto de versión,Sürüm metin
ModelData,Class,Class,Klasse,Classe,,klasse,Classe,クラス,Klasa,Classe,Класс,Clase,Klas
ModelData,Description,Description,Beschreibung,Description,,beschrijving,Descrizione,表記,Opis,Descrição,Наименование,Descripción,Açıklama
SymbolData,Class,Class,Klasse,Classe,,klasse,Classe,クラス,Klasa,Classe,Класс,Clase,Klas
SymbolData,DATEMAIN,Date,Datum,Date,,datum,Data,日付,Data,Data,Дата,Fecha,Tarih
SymbolData,Description,Description,Beschreibung,Description,,beschrijving,Descrizione,表記,Opis ,Descrição,Наименование,Descripción,Açıklama
SymbolData,ENTRY,Symbol name,Symbolname,Nom de symbole,,symboolnaam,Nome simbolo,シンボル名,DaneSymbolu,Nome de Símbolo,Имя символа,Nombre del símbolo,Sembol adı
SymbolData,Norm,Standard,Norm,Norme,,norm,Normativa,標準,Norma,Norma,Стандарт,Norma,Standart
SymbolData,VERSION,Version,Version,Version,,versie,Versione,バージョン,Wersja,Versão,Версия,Versión,Sürüm
SymbolData,VersionText,Version text,Versionstext,Texte de version,,versietekst,Testo versione,バージョンテキスト,Tekst wersji,Texto de versão,Надпись версии,Texto de versión,Sürüm metin
ModelData,ENTRY,Model name,Bauformname,Nom de modèle,,model naam,Nome modello,モデルデータ名,DaneModelu,,Имя модели,,Model adı
