Type,ColorIndex,PenStyle,PenWidth
0,0,0,0.0
10,0,3,0.0
11,0,1,0.0
12,0,1,0.0
13,4,1,0.0
14,240,1,0.0
15,6,1,0.0
16,0,1,0.0
17,2,1,0.0
18,0,1,0.0
20,2,1,0.0
21,13,2,0.0
22,12,0,0.0
23,0,0,0.0
24,15,0,0.0
25,0,0,0.0
26,31,0,0.0
27,207,0,0.0
28,0,0,0.0
29,41,0,0.0
30,31,0,0.0
31,31,0,0.0
32,16,1,0.0
33,16,1,0.0
34,31,1,0.0
35,16,0,0.0
36,31,0,0.0
37,10,0,0.0
38,0,0,0.0
39,16,0,0.0
40,0,0,0.0
41,14,1,0.0
42,0,0,0.0
44,0,0,0.0
48,7,0,0.0
72,0,23,0.0
73,0,24,0.0
75,19,0,0.0
76,7,0,0.0
77,30,0,0.0
78,10,0,0.0
79,30,0,0.0
80,11,0,0.0
266,16053492,0,0.0
