ID,CrossSection,Description,Flags,Type
1,13.300000190734863,AWG 6,3,0
2,21.200000762939453,AWG 4,3,0
3,202.67999267578125,400 MCM,3,0
4,2.5,2.50 mm²,2,0
5,1.5,1.50 mm²,2,0
6,4.0,4.00 mm²,2,0
7,0.25,0.25 mm²,2,0
8,6.0,6.00 mm²,2,0
9,16.0,16.00 mm²,2,0
10,10.0,10.00 mm²,2,0
11,35.0,35.00 mm²,2,0
12,0.5,0.50 mm²,2,0
13,25.0,25.00 mm²,2,0
14,1.0,1.00 mm²,2,0
15,0.75,0.75 mm²,2,0
16,50.0,50.00 mm²,2,0
17,500.0,500.00 mm²,2,0
18,0.8230000138282776,AWG 18,3,0
19,1.309999942779541,AWG 16,3,0
20,2.0799999237060547,AWG 14 ,3,0
21,3.309999942779541,AWG 12,3,0
22,5.260000228881836,AWG 10,3,0
23,8.369999885559082,AWG 8,3,0
24,33.599998474121094,AWG 2,3,0
25,42.400001525878906,AWG 1,3,0
26,53.5,AWG 0 (1/0),3,0
27,67.5,AWG 00 (2/0),3,0
28,85.0,AWG 000 (3/0),3,0
29,107.19999694824219,AWG 0000 (4/0),3,0
30,152.00999450683594,300 MCM,3,0
31,177.35000610351562,350 MCM,3,0
32,253.35000610351562,500 MCM,3,0
33,0.14000000059604645,0.14 mm²,2,0
34,0.3400000035762787,0.34 mm²,2,0
35,70.0,70.00 mm²,2,0
36,95.0,95.00 mm²,2,0
37,185.0,185.00 mm²,2,0
38,240.0,240.00 mm²,2,0
39,300.0,300.00 mm²,2,0
40,400.0,400.00 mm²,2,0
41,0.0020000000949949026,AWG 44,3,0
42,0.019999999552965164,AWG 34,3,0
43,0.12800000607967377,AWG 26,3,0
44,0.20499999821186066,AWG 24,3,0
45,0.3240000009536743,AWG 22,3,0
46,0.5189999938011169,AWG 20,3,0
47,127.0,AWG 250,3,0
48,177.0,AWG 350,3,0
49,253.0,AWG 500,3,0
50,0.2199999988079071,0.22 mm²,2,0
51,2.0,2.00 mm²,2,0
52,3.0,3.00 mm²,2,0
53,0.3499999940395355,0.35 mm²,2,0
54,0.6000000238418579,0.60 mm²,2,0
55,0.07999999821186066,0.08 mm²,2,0
56,0.003000000026077032,AWG 42,3,0
57,0.004999999888241291,AWG 40,3,0
58,0.00800000037997961,AWG 38,3,0
59,0.013000000268220901,AWG 36,3,0
60,0.03200000151991844,AWG 32,3,0
61,0.050999999046325684,AWG 30,3,0
62,0.20000000298023224,0.20 mm²,2,0
63,0.0820000022649765,AWG 28,3,0
64,31.670000076293945,"1/4""",2,0
65,71.25,"3/8""",2,0
66,126.69999694824219,"1/2""",2,0
67,285.0,"3/4""",2,0
68,506.70001220703125,"1""",2,0
69,791.7000122070312,"1 1/4""",2,0
70,958.0,"1 3/8""",2,0
71,1140.0,"1 1/2""",2,0
72,1552.0,"1 3/4""",2,0
73,2027.0,"2""",2,0
74,2565.0,"2 1/4""",2,0
75,2858.0,"2 3/8""",2,0
76,3167.0,"2 1/2""",2,0
77,3832.0,"2 3/4""",2,0
78,4560.0,"3""",2,0
79,120.0,120.00 mm²,2,0
80,150.0,150.00 mm²,2,0
83,88.0,"1/4"" DN 10 DIN2440",2,1
84,125.0,"3/8"" DN 12 DIN2440",2,1
85,160.0,"1/2"" DN 15 DIN2440",2,1
86,216.0,"3/4"" DN 20 DIN2440",2,1
87,272.0,"1"" DN 25 DIN2440",2,1
88,359.0,"1 1/4"" DN 32 DIN2440",2,1
89,418.0,"1 1/2"" DN 40 DIN2440",2,1
90,530.0,"2"" DN 50 DIN2440",2,1
91,688.0,"2 1/2"" DN 65 DIN2440",2,1
92,808.0,"3"" DN 80 DIN2440",2,1
93,1098.0,"4"" DN 100 DIN2440",2,1
94,1300.0,"5"" DN 125 DIN2440",2,1
95,114.0,"3/8"" DN 12 DIN2441",2,1
96,148.0,"1/2"" DN 15 DIN2441",2,1
97,204.0,"3/4"" DN 20 DIN2441",2,1
98,256.0,"1"" DN 25 DIN2441",2,1
99,343.0,"1 1/4"" DN 32 DIN2441",2,1
100,402.0,"1 1/2"" DN 40 DIN2441",2,1
101,513.0,"2"" DN 50 DIN2441",2,1
102,0.05000000074505806,0.05 mm²,2,0
103,29.0,"Ø 4,4/2,9mm",2,1
104,40.0,Ø 6/4mm,2,1
105,59.0,"Ø 8/5,9mm",2,1
106,70.0,Ø 10/7mm,2,1
107,84.0,"Ø 12/8,4mm",2,1
108,120.0,Ø 16/12mm,2,1
109,30.0,"Ø 4,3/3mm",2,1
110,30.0,30.00 mm²,2,0
111,29.0,29.00 mm²,2,0
112,23.0,"Ø 3,2/2,3mm",2,1
113,0.30000001192092896,0.30 mm²,2,0
114,1.649999976158142,AWG 15,3,0
115,0.4099999964237213,AWG 21,3,0
116,1.000100016593933,AWG 17,3,0
117,4.199999809265137,AWG 11,3,0
118,2.5999999046325684,AWG 13,3,0
120,0.6499999761581421,AWG 19,3,0
121,135.1999969482422,AWG 00000 (5/0),3,0
122,170.5,AWG 000000 (6/0),3,0
123,215.0,AWG 0000000 (7/0),3,0
124,126.68000030517578,250 MCM,3,0
125,300.0000915527344,600 MCM,3,0
126,354.7099914550781,700 MCM,3,0
127,380.0,750 MCM,3,0
128,400.0000915527344,800 MCM,3,0
129,456.0400085449219,900 MCM,3,0
130,500.0000915527344,1000 MCM,3,0
131,0.10000000149011612,0.10 mm²,2,0
132,0.2800000011920929,0.28 mm²,2,0
133,0.33000001311302185,0.33 mm²,2,0
134,0.800000011920929,0.80 mm²,2,0
135,0.6500999927520752,0.65 mm²,2,0
136,0.699999988079071,0.70 mm²,2,0
137,0.7200000286102295,0.72 mm²,2,0
138,0.8999999761581421,0.90 mm²,2,0
139,1.100000023841858,1.10 mm²,2,0
140,1.1200000047683716,1.12 mm²,2,0
141,1.190000057220459,1.19 mm²,2,0
142,1.600000023841858,1.60 mm²,2,0
143,2.700000047683716,2.70 mm²,2,0
144,2.799999952316284,2.80 mm²,2,0
145,3.4200000762939453,3.42 mm²,2,0
146,4.949999809265137,4.95 mm²,2,0
147,5.039999961853027,5.04 mm²,2,0
148,5.25,5.25 mm²,2,0
149,0.09000000357627869,0.09 mm²,2,0
150,0.5600000023841858,0.56 mm²,2,0
151,0.3700000047683716,0.37 mm²,2,0
152,0.5199999809265137,0.52 mm²,2,0
153,0.20999999344348907,0.21 mm²,2,0
154,6.630000114440918,AWG 9,3,0
155,0.257999986410141,AWG 23,3,0
161,18.0,1.8 mm,2,2
162,24.0,2.4 mm,2,2
163,25.899999618530273,2.59 mm,2,2
164,33.0,3.3 mm,2,2
165,14.0,1.4 mm,2,2
166,17.0,1.7 mm,2,2
167,21.0,2.1 mm,2,2
168,20.0,2.0 mm,2,2
169,26.0,2.6 mm,2,2
170,49.0,4.9 mm,2,2
171,51.0,5.1 mm,2,2
172,46.0,"Ø 4/2,6mm",2,1
173,21.0,"Ø 3/2,1mm",2,1
174,10.0,1.0 mm,2,2
175,11.0,1.1 mm,2,2
176,12.0,1.2 mm,2,2
177,13.0,1.3 mm,2,2
178,15.0,1.5 mm,2,2
179,16.0,1.6 mm,2,2
180,19.0,1.9 mm,2,2
181,22.0,2.2 mm,2,2
182,23.0,2.3 mm,2,2
183,25.0,2.5 mm,2,2
184,27.0,2.7 mm,2,2
185,28.0,2.8 mm,2,2
186,29.0,2.9 mm,2,2
187,30.0,3.0 mm,2,2
188,31.0,3.1 mm,2,2
189,32.0,3.2 mm,2,2
190,34.0,3.4 mm,2,2
191,35.0,3.5 mm,2,2
192,36.0,3.6 mm,2,2
193,50.0,5.0 mm,2,2
194,52.0,5.2 mm,2,2
195,53.0,5.3 mm,2,2
196,54.0,5.4 mm,2,2
197,55.0,5.5 mm,2,2
198,56.0,5.6 mm,2,2
199,57.0,5.7 mm,2,2
200,58.0,5.8 mm,2,2
201,59.0,5.9 mm,2,2
202,60.0,6.0 mm,2,2
203,70.0,7.0 mm,2,2
281,4.199999809265137,0.42  mm,2,2
282,5.599999904632568,0.56  mm,2,2
283,6.5,0.65  mm,2,2
284,7.900000095367432,0.79  mm,2,2
285,8.5,0.85  mm,2,2
286,9.5,0.95  mm,2,2
287,9.699999809265137,0.97  mm,2,2
288,12.5,1.25  mm,2,2
289,13.800000190734863,1.38  mm,2,2
290,15.199999809265137,1.52  mm,2,2
291,17.799999237060547,1.78  mm,2,2
292,22.5,2.25  mm,2,2
293,26.5,2.65  mm,2,2
294,27.600000381469727,2.76  mm,2,2
295,29.5,2.95  mm,2,2
296,30.5,3.05  mm,2,2
297,37.0,3.7  mm,2,2
298,38.0,3.8  mm,2,2
299,39.0,3.9  mm,2,2
300,40.0,4  mm,2,2
301,41.0,4.1  mm,2,2
302,42.0,4.2  mm,2,2
303,43.0,4.3  mm,2,2
304,44.0,4.4  mm,2,2
305,45.0,4.5  mm,2,2
306,47.0,4.7  mm,2,2
307,48.0,4.8  mm,2,2
308,64.0,6.4  mm,2,2
309,65.0,6.5  mm,2,2
310,66.0,6.6  mm,2,2
311,67.0,6.7  mm,2,2
312,72.0,7.2  mm,2,2
313,72.4000015258789,7.24  mm,2,2
314,75.0,7.5  mm,2,2
315,78.0,7.8  mm,2,2
316,79.0,7.9  mm,2,2
317,80.0,8  mm,2,2
318,81.0,8.1  mm,2,2
319,82.0,8.2  mm,2,2
320,83.0,8.3  mm,2,2
321,89.0,8.9  mm,2,2
322,90.0,9  mm,2,2
323,91.0999984741211,9.11  mm,2,2
324,93.0,9.3  mm,2,2
325,94.0,9.4  mm,2,2
326,96.0,9.6  mm,2,2
327,97.69999694824219,9.77  mm,2,2
328,98.0,9.8  mm,2,2
329,99.0,9.9  mm,2,2
330,100.0,10  mm,2,2
331,102.0,10.2  mm,2,2
332,103.0,10.3  mm,2,2
333,107.0,10.7  mm,2,2
334,108.0,10.8  mm,2,2
335,111.0,11.1  mm,2,2
336,117.0,11.7  mm,2,2
337,119.0,11.9  mm,2,2
338,121.0,12.1  mm,2,2
339,130.0,13  mm,2,2
340,134.0,13.4  mm,2,2
341,136.0,13.6  mm,2,2
342,139.0,13.9  mm,2,2
343,145.0,14.5  mm,2,2
344,149.0,14.9  mm,2,2
345,150.0,15  mm,2,2
346,152.0,15.2  mm,2,2
347,160.0,16  mm,2,2
348,162.0,16.2  mm,2,2
349,168.0,16.8  mm,2,2
350,170.0,17  mm,2,2
351,195.0,19.5  mm,2,2
352,197.0,19.7  mm,2,2
353,200.0,20  mm,2,2
354,222.0,22.2  mm,2,2
355,245.0,24.5  mm,2,2
356,290.0,29  mm,2,2
357,337.0,33.7  mm,2,2
358,16.5,AWG 15 o.d.,3,2
359,20.799999237060547,AWG 14 o.d.,3,2
360,0.9599999785423279,0.096 mm,2,2
361,1.0399999618530273,0.104 mm,2,2
362,1.2400000095367432,0.124 mm,2,2
363,6.800000190734863,0.68  mm,2,2
364,5.099999904632568,0.51  mm,2,2
365,21.399999618530273,2.14 mm,2,2
366,11.699999809265137,1.17 mm,2,2
367,9.600000381469727,0.96  mm,2,2
368,13.5,1.35  mm,2,2
369,16.600000381469727,1.66  mm,2,2
370,27.100000381469727,2.71  mm,2,2
371,33.20000076293945,3.32  mm,2,2
372,54.20000076293945,5.42 mm,2,2
373,80.0999984741211,8.01  mm,2,2
374,1.899999976158142,0.19  mm,2,2
375,7.699999809265137,0.77  mm,2,2
156,26.0,"Ø 4/2,6mm",2,1
157,40.0,40.00,2,0
158,23.0,23.00,2,0
159,21.0,"Ø 3/2,1mm",2,1
