AttributeID,AttributeName,Color,DefaultValue,Direction,Format,Hidden,Level,MustExist,Owner,Owner2,PositionX,PositionY,Ratio,SingleInstance,Size,Typ,Visible,ASSIGNED_LIST,Usage_Description,UNIQUE_VALUE,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,Flags2,DESCRIPTION_48
2,.ACTIVE_COMPOSITE,0,,1,VALUE,False,1,False,8160,0,0.0,-40.0,1,True,20.0,4,1,,,,Pieza complementaria,当前匹配连接器,Aktives Gegenstück,Active mating connector,Contre-pièce,Controparte attiva,アクティブな嵌合コネクタ,tegenstuk,Contra-peça,Ответная часть,Aktif eş konnektör,0,
4,.ACTIVE_CONNPART,0,,1,VALUE,False,1,False,8160,0,0.0,-40.0,1,True,20.0,4,1,,,,Pieza de cavidad activa,当前匹配的针脚插件,Aktives Kammermaterial,Active cavity part,Pièce de cavité active,Parte per cavità attiva,アクティブなキャビティパート,aktief cavity part,,Текущий наконечник/уплотнитель,Aktif boşluk parçası,0,Aktywna grupa pinów i uszczelek
6,.ALT_COMPCODE,0,,1,DEFAULT,False,1,False,16416,,0.0,-40.0,1,True,25.0,4,0,,,,Código de componente alternativo,可选元件代码,Alternativer Bauteilname,Alternative component code,Nom de composant alternatif,Codice componente alternativo,代替コンポーネントコード,alternative toestelnaam,Código alternativo de componente,Альтернативный код изделия,Alternatif bileşen kodu,,Alternatywny kod komponentu
0,.ARRANGEMENT_SYMBOL,1,,1,VALUE,False,1,False,4194304,0,0.0,-40.0,1,True,25.0,4,0,,DatabaseSymbol,1,Símbolo de organización de contactos,触点布置符号,Kontaktspiegel Symbol,Contact arrangement symbol,Symbole de disposition des contacts,Simbolo tabella contatti,コンタクトアレンジシンボル,kontakt arrangement symbool,Símbolo de arranjo de contatos,Символ упорядочения контактов,İletişim düzenleme sembolü,0,Symbol aranżacji styków
0,.ASSIGNED_END_BRACKET,1,,1,VALUE,False,1,False,32,0,0.0,-40.0,1,True,25.0,4,0,,,,Soporte final asignado,指定的终端固定件,Zugewiesene Endklammer,Assigned end bracket,Attache d'extrémité assignée,Blocchetto terminale assegnato,割り当てられたエンドブラケット,Toegewezen eindklem,,Назначенный концевой стопор,Atanmış uç dirseği,0,Przypisana blokada końcowa
0,.ASSIGNED_END_COVER,1,,1,VALUE,False,1,False,32,0,0.0,-40.0,1,True,25.0,4,0,,,,Cubierta final asignada,指定的端盖,Zugewiesene Endplatte,Assigned end cover,Plaque d'extrémité assignée,Piastra terminale assegnata,割り当てられた終端カバー,Toegewezen eindafsluiting,,Назначенная концевая пластина,Atanmış uç kapağı,0,Przypisana ścianka końcowa
0,.ASSIGNED_SEPARATION_PLATE,1,,1,VALUE,False,1,False,32,0,0.0,-40.0,1,True,25.0,4,0,,,,Placa de separación asignada,指定的隔片,Zugewiesene Trennplatte,Assigned separating plate,Plaque de séparation assignée,Piastra di separazione assegnata,割り当てられた分離プレート,Toegewezen tussenplaat,,Назначенная разделительная пластина,Atanmış ayırma plakası,0,Przepisana płytka separacyjna
,.ATTACHED_SYMBOL,0,,,,False,,False,4194305,,,,,False,,4,0,,DatabaseSymbol,,Símbolo adjunto,附属符号,Zugeordnetes Symbol,Attached symbol,Symbol assigné,Simbolo assegnato,添付シンボル,bijgevoegd symbool,Símbolo anexado,Присоединенный символ,Ekli sembol,,Przylączony symbol
0,.BACKPLANE_WIRE,1,,1,VALUE,False,1,False,134217728,0,0.0,-40.0,1,True,25.0,3,1,,,,Cableado de la Pletina (reijlla),背板布线 (网格),Rückwandverdrahtung (Raster),Backplane wiring (grid),Câblage de fond de panier (grille),Connessione backplane (griglia),バックプレーン配線(グリッド),backplane bedrading,Fiação Backplane (grade),Монтаж соединительной платой,Arkaplan kablo (ızgara),0,Okablowanie za płytą montażową (siatka)
0,.BLOCK_PIN_SYMBOL,1,,1,VALUE,False,1,False,1088,0,0.0,-40.0,1,True,25.0,4,0,,DatabaseSymbol,,Símbolo para conector de bloque,背板布线 (网格) (1),Symbol für Blockstecker,Symbol for block connector,Symbole pour connecteur-bloc,Simbolo per connettore di blocco,ブロックコネクタ用シンボル,symbool voor blok stekker,Símbolo para Conector de Bloco,Символ для соединителя блока,Sembol için blok konnektör,0,Symbol dla złącza bloku
,.BRIDGE,0,,1,VALUE,False,1,False,1971542,0,0.0,-40.0,1,True,20.0,1,1,,,,Puente para borne,模块连接器符号,Klemmenbrücke,Jumper for terminal,Pont pour borne,Ponte per morsetto,ターミナル用ジャンパー,klemmenbrug,Ponte para borne,Перемычка для клеммы,Terminal için jumper,0,Mostek dla złączek
80,.CABLE_DUCT_LENGTH,0,,1,DEFAULT,False,1,False,2080,0,0.0,-40.0,1,True,125.0,3,1,,,,Longitud conducto de manguera,电缆通道长度,Länge des Kabelkanals,Length of cable duct,Longueur du caniveau de câble,Lunghezza canalina cavi,ケーブルダクト長,lengte van de kabelgoot,Comprimento da eletrocalha,Длина кабель-канала,Kablo kanalı uzunluğu,0,Długość korytka kablowego
11,.CABLENAME,0,,1,VALUE,False,12,False,2,0,0.0,-40.0,1,True,20.0,4,1,,,,Nombre dispositivo de manguera,电缆设备代号,Kabelname,Cable Device designation,Nom de câble,Designazione cavo,ケーブルデバイス識別名,kabelnaam,Designação de Dispositivo do Cabo,Кабель - Позиционное обозначение,Kablo aygıtı atama,0,Oznaczenie kabla
0,.CABLESHAPE,1,,1,VALUE,False,1,False,393222,340,0.0,-40.0,1,True,25.0,4,1,,,,Contorno de manguera,Cable Shape,Kabelform,Cable Shape,Forme de câble,Forma cavo,Cable Shape,Kabelvorm,Forma do cabo,Форма кабеля,Kablo Şekli,0,Kształt kabla
12,.CABLETYPE,0,,1,VALUE,False,5,False,2,0,0.0,-40.0,1,True,20.0,4,1,,,,Código de componente de manguera,电缆元件代码,Kabeltyp,Cable Component code,Type de câble,Componente cavo,ケーブルコンポーネントコード,kabeltype,Código de Componente do Cabo,Кабель - Условное обозначение,Kablo bileşen kodu,0,Kod komponentu kabla
0,.CALC_PARAM_AMBIENT_TEMP,1,,1,## °C,False,1,False,6,0,0.0,-40.0,1,True,25.0,2,1,,,,Temperatura ambiente [grados C],环境温度(摄氏度),Umgebungstemperatur [Grad C],Ambient temperature [degrees C],Température extérieure [degrés C],Temperatura ambiente [C°],周辺温度 [℃],buitentemperatuur [graden Celsius],Temperatura Ambiente [Graus Celsius],Наружная температура [градусы Цельсия],Ortam sıcaklığı [derece C],0,Temperatura otoczenia [stopnie C]
