CrossSection,Description,Flags,ID,Type
13.300000190734863,AWG 6,3,1,0
21.200000762939453,AWG 4,3,2,0
202.67999267578125,400 MCM,3,3,0
2.5,2.50 mm²,2,4,0
1.5,1.50 mm²,2,5,0
4.0,4.00 mm²,2,6,0
0.25,0.25 mm²,2,7,0
6.0,6.00 mm²,2,8,0
16.0,16.00 mm²,2,9,0
10.0,10.00 mm²,2,10,0
35.0,35.00 mm²,2,11,0
0.5,0.50 mm²,2,12,0
25.0,25.00 mm²,2,13,0
1.0,1.00 mm²,2,14,0
0.75,0.75 mm²,2,15,0
50.0,50.00 mm²,2,16,0
500.0,500.00 mm²,2,17,0
0.8230000138282776,AWG 18,3,18,0
1.309999942779541,AWG 16,3,19,0
2.0799999237060547,AWG 14 ,3,20,0
3.309999942779541,AWG 12,3,21,0
5.260000228881836,AWG 10,3,22,0
8.369999885559082,AWG 8,3,23,0
33.599998474121094,AWG 2,3,24,0
42.400001525878906,AWG 1,3,25,0
53.5,AWG 0 (1/0),3,26,0
67.5,AWG 00 (2/0),3,27,0
85.0,AWG 000 (3/0),3,28,0
107.19999694824219,AWG 0000 (4/0),3,29,0
152.00999450683594,300 MCM,3,30,0
177.35000610351562,350 MCM,3,31,0
253.35000610351562,500 MCM,3,32,0
0.14000000059604645,0.14 mm²,2,33,0
0.3400000035762787,0.34 mm²,2,34,0
70.0,70.00 mm²,2,35,0
95.0,95.00 mm²,2,36,0
185.0,185.00 mm²,2,37,0
240.0,240.00 mm²,2,38,0
300.0,300.00 mm²,2,39,0
400.0,400.00 mm²,2,40,0
0.0020000000949949026,AWG 44,3,41,0
0.019999999552965164,AWG 34,3,42,0
0.12800000607967377,AWG 26,3,43,0
0.20499999821186066,AWG 24,3,44,0
0.3240000009536743,AWG 22,3,45,0
0.5189999938011169,AWG 20,3,46,0
127.0,AWG 250,3,47,0
177.0,AWG 350,3,48,0
253.0,AWG 500,3,49,0
0.2199999988079071,0.22 mm²,2,50,0
2.0,2.00 mm²,2,51,0
3.0,3.00 mm²,2,52,0
0.3499999940395355,0.35 mm²,2,53,0
0.6000000238418579,0.60 mm²,2,54,0
0.07999999821186066,0.08 mm²,2,55,0
0.003000000026077032,AWG 42,3,56,0
0.004999999888241291,AWG 40,3,57,0
0.00800000037997961,AWG 38,3,58,0
0.013000000268220901,AWG 36,3,59,0
0.03200000151991844,AWG 32,3,60,0
0.050999999046325684,AWG 30,3,61,0
0.20000000298023224,0.20 mm²,2,62,0
0.0820000022649765,AWG 28,3,63,0
31.670000076293945,"1/4""",2,64,0
71.25,"3/8""",2,65,0
126.69999694824219,"1/2""",2,66,0
285.0,"3/4""",2,67,0
506.70001220703125,"1""",2,68,0
791.7000122070312,"1 1/4""",2,69,0
958.0,"1 3/8""",2,70,0
1140.0,"1 1/2""",2,71,0
1552.0,"1 3/4""",2,72,0
2027.0,"2""",2,73,0
2565.0,"2 1/4""",2,74,0
2858.0,"2 3/8""",2,75,0
3167.0,"2 1/2""",2,76,0
3832.0,"2 3/4""",2,77,0
4560.0,"3""",2,78,0
