Clase,Class,Classe,Êëàññ,Klasse,LetterCode,ValueRange,ID
Amplificador IC,IC amplifier,Amplificatori a circuiti integrati,èíòåãðàëüíûé óñèëèòåëü,IC-Verstärker,A,AJ,3
Amplificador magnético,magnetic amplifier,Amplificatori magnetici,ìàãíèòíûé óñèëèòåëü,Magnetverstärker,A,AM,4
Tubo amplificador,tube amplifier,Guida,ñòîéêà âûäâèæíîãî áëîêà,Einschubgestell,A,AV,8
Placa de circuito impreso,printed circuit board,Amplificatore a valvole,ëàìïîâûé óñèëèòåëü,Röhrenverstärker,A,AP,5
Caja única,drawer unit,Guida,âûäâèæíîé áëîê,Einschub,A,AT,7
Grupo de cajas,drawer unit rack,Circuito stampato,ïå÷àòíàÿ ïëàòà,Leiterplatte,A,AR,6
Sensores de intensidad no eléctrica a intensidad eléctrica o viceversa,transducers from non-electrical to electrical quantity or vice versa,Trasformazione di dimensioni non elettriche in elettriche,ïðåîáðàçîâàòåëè íåýëåêòðè÷åñêèõ âåëè÷èí â ýëåêòðè÷åñêèå è íàîáîðîò,Umsetzer von nicht elektrischen auf elektrische Größenoder umgekehrt,B, ,9
"Elemento fotoeléctrico, dinamómetro, analizador piezoeléctrico, micrófono, lector electromagnético del sonido, altavoz, sincrogenerador","photoelectricelement, dynamometer, piezoelectric pick up, microphone, audio pick up,loudspeaker, synchro generator",Cella fotovoltaica,"ôîòîýëåêòðîííûé ýëåìåíò, äèíàìîìåòð, ïüåçîýëåêòðè÷åñêèé çâóêîñíèìàòåëü, ìèêðîôîí, àóäèîíàêîïèòåëü, ãðîìêîãîâîðèòåëü, ñåëüñèí-ãåíåðàòîð","Photoelektrische ZelleDynamometer, Kristallwandler,Mikrofon, Tonabnehmer,Lautsprecher, Drehmelder",B,B,10
Sensor de presión,pressure sensor,Sensori di pressione,äàò÷èê äàâëåíèÿ,Druckgeber,B,BP,11
"Indicador, codificador de posición","locator,position encoder",Encoder di posizione,"ëîêàòîð, äåøèôðàòîð ïîëîæåíèÿ",Positionsgeber/Weggeber,B,BQ,12
Tacogenerador,tacho generator,Generatore tachimetrico,òàõîãåíåðàòîð,Drehzahlgeber,B,BR,13
Sensor de temperatura,temperaturesensor,Sensore di temperatura,äàò÷èê òåìïåðàòóðû,Temperaturgeber,B,BT,14
Lector de velocidad,velocitypick up,Misuratore di velocità,òàõîìåòð,Geschwindigkeitsgeber,B,BV,15
Condensadores,capacitors,Condensatori,êîíäåíñàòîðû,Kondensatoren,C, ,16
Asuntos/Dispositivos que no estan listados,items /devices which are not listed otherwise,Elementi non codificati,"èçäåëèÿ/óñòðîéñòâà, íå âîøåäøèå â ñïèñîê","Einrichtungen/Geräte, die an anderer Stelle dieserTabelle nicht aufgeführt sind.",E,E,20
Ventilador,fan,Ventilatore,âåíòèëÿòîð,Lüfter,E,EV,23
"Dispositivo de descarga para sobretensión, protector para sobrevoltaje","over voltage discharge device, surge voltage protector",Dispositivo di scarica per sovvratensioni,"ðàçðÿäíîå óñòðîéñòâî, èìïóëüñíîå ðàçðÿäíîå óñòðîéñòâî","Überspannungsentladevorrichtung, Überspannungsableiter",F,F,25
"Dispositivo de protección para sobrecorriente, instantaneo","overcurrent protective device, instantaneous","Dispositivo di protezione di sovvracorrente, non ritardato","óñòðîéñòâî çàùèòû îò ñâåðõòîêîâ, ìãíîâåííîãî äåéñòâèÿ","Überstromschutzeinrichtung, unverzögert",F,FA,26
"Dispositivo de protección para sobrecorriente, con retardo","overcurrent protective device, time delayed","Dispositivo di protezione di sovvracorrente, ritardato","óñòðîéñòâî çàùèòû îò ñâåðõòîêîâ, ñ âðåìåííîé çàäåðæêîé","Überstromschutzeinrichtung, zeitverzögert",F,FR,27
"Dispositivo de protección para sobrecorriente, instantaneo y de acción retardada","overcurrent protective device, instantaneous and time delayed characteristic","Dispositivo di protezione di sovvracorrente, ritardato e non ritardato","óñòðîéñòâî çàùèòû îò ñâåðõòîêîâ, ìãíîâåííîãî äåéñòâèÿ è ñ âðåìåííîé çàäåðæêîé",Überstromschutzeinrichtung mit unverzögerter und zeitverzögerter Wirkung,F,FS,28
"Generadores, fuentes de alimentación","generators, power supplies","Generatori, alimentazioni","ãåíåðàòîðû, èñòî÷íèêè ýëåêòðîïèòàíèÿ","Generatoren, Stromversorgungen",G, ,31
"Generadores rotativos, oscilador de cuarzo","rotatinggenerators, (quartz)oscillator",Generatori rotativi,êâàðöåâûé ãåíåðàòîð,"rotierendeGeneratoren, (Quarz)oscillator",G,G,32
Batería,battery,Batteria,àêêóìóëÿòîð,Batterie,G,GB,33
Convertidor de frecuencia rotativo estático,rotatingor static frequency converter,Convertitori di frequenza statici o rotativi,ñòàòè÷åñêèé ïðåîáðàçîâàòåëü ÷àñòîòû,rotierender oder statischer Frequenzwandler,G,GF,34
Fuente de alimentación,powersupply unit,Dispositivi di alimentazione,áëîê ïèòàíèÿ,Stromversorgungseinrichtung,G,GS,35
Dispositivos de señalización,signalling devices,Dispositivi di segnalazione,ñèãíàëüíûå óñòðîéñòâà,Meldeeinrichtungen,H, ,36
Dispositivo de señal acústica,audible signal device,Dispositivi di segnalazione acustici,ãîëîñîâîå ñèãíàëüíîå óñòðîéñòâî,Akustisches Meldegerät,H,HA,37
"Dispositivo de señal óptica, luz indicadora","opticalsignal device, indicator light",Dispositivi di segnalazione luminosa,"îïòè÷åñêîå ñèãíàëüíîå óñòðîéñòâî, ñâåòîâîé èíäèêàòîð","Optisches Meldegerät, Leuchtmelder",H,HL,38
"Relé, contactores","relay,contactors","Relè, contattori","ðåëå, êîíòàêòîðû","Relais,Schütze",K, ,39
"Relé extrarrápido ""todo o nada"", contactor relé instantáneo","instantaneousall-or-nothing relay, instantaneous contactor relay",Relè non ritardato o contattore ausiliario non ritardato,áåçèíåðöèîííîå ðåëå,unverzögertes Schaltrelais oder unverzögertes Hilfsschütz,K,KA,40
"Contactor relé biestable con cerrado mecánico, o imán permanente",bistablecontactor relay with mechanical latching or permanent magnet etc.,Contattore ausiliario bistabile con connessione meccanica o magnete permanente,äâóõïîçèöèîííîå ðåëå ñ ìåõàíè÷åñêîé ôèêñàöèåé èëè ïîñòîÿííûì ýëåêòðîìàãíèòîì,bistabiles Hilfsschütz mit mechanischer Verklinkung oderPermanentmagnet usw.,K,KL,41
Contactor,contactor,Contattore,êîíòàêòîð,Schütz,K,KM,42
Relé polarizado,polarizedrelay,Relè polarizzato,ïîëÿðèçîâàííîå ðåëå,polarisiertesRelais,K,KP,43
Relé mecánico,reedrelay,Relè Reed,ãåðêîí,Reed-Relais,K,KR,44
Relé de acción retardada,time-delayrelay,Relè temporizzato,ðåëå âðåìåíè,Zeitrelais,K,KT,45
"Reactores, inductores","inductors,reactors",Induttanze,"êàòóøêè èíäóêòèâíîñòè, äðîññåëè",Induktivitäten,L, ,46
