ColorIndex,PenStyle,PenWidth,Type
0,0,0.0,0
0,3,0.0,10
0,1,0.0,11
0,1,0.0,12
4,1,0.0,13
240,1,0.0,14
6,1,0.0,15
0,1,0.0,16
2,1,0.0,17
0,1,0.0,18
2,1,0.0,20
13,2,0.0,21
12,0,0.0,22
0,0,0.0,23
15,0,0.0,24
0,0,0.0,25
31,0,0.0,26
207,0,0.0,27
0,0,0.0,28
41,0,0.0,29
31,0,0.0,30
31,0,0.0,31
16,1,0.0,32
16,1,0.0,33
31,1,0.0,34
16,0,0.0,35
31,0,0.0,36
10,0,0.0,37
0,0,0.0,38
16,0,0.0,39
0,0,0.0,40
14,1,0.0,41
0,0,0.0,42
0,0,0.0,44
7,0,0.0,48
0,23,0.0,72
0,24,0.0,73
19,0,0.0,75
7,0,0.0,76
30,0,0.0,77
10,0,0.0,78
30,0,0.0,79
11,0,0.0,80
16053492,0,0.0,266
