TextType,CanHide,CanModify,CanModifyInivisible,ChangeableByScriptOnly,CopyFromSelectedSheet,DatabaseField,Format,MaxLength,SheetInfo,SystemDefined,TEXTNAME_34,TEXTNAME_86,TEXTNAME_49,TEXTNAME_44,TEXTNAME_33,TEXTNAME_39,TEXTNAME_81,TEXTNAME_31,TEXTNAME_351,TEXTNAME_07,TEXTNAME_90,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_48
2,True,True,False,False,False,,,80,False,False,Comentario,注释,Kommentar,Comment,Commentaire,Commento,注釈,commentaar,Comentário,Комментарий,Açıklama,0,False,Komentarz
11,True,True,False,False,False,,,0,False,True,Texto fijo,Text fix,Text fix,Text fix,Texte fixe,Testo fisso,テキスト - 固定,tekst fix,Texto fixo,Text fix,Metin düzeltme,0,False,Tekst stały
13,True,True,False,False,False,,,0,False,False,Texto variable,正文变量,Text - variabel,Text variable,Texte - variable,Testo - variabile,テキスト変数,tekst - variabel,Variável de texto,Надпись - переменная,Metin değişkeni,0,False,Tekst zmienny
20,True,True,False,False,False,,,40,True,False,Creador del dibujo,绘图通过,Erstellt durch,Drawn by,Créateur du dessin,Disegnato da,作図者,getekend door,Desenhado por,Исполнитель,Çizen,0,False,Stworzony przez
21,True,True,False,False,True,,,20,True,False,Número del documento,文档号码,Unterlagennummer,Document number,Numéro du document,Numero documento,ドキュメント番号,documentnummer,Número do documento,Номер документа,Belge numarası,0,False,Numer dokumentu
22,True,True,False,False,True,,,50,True,False,Cliente,客户,Auftraggeber,Customer,Client,Cliente,顧客,klant,Cliente,Заказчик,Müşteri,0,False,Klient
23,True,True,False,False,True,,,20,True,False,Número del dibujo,绘图号码,Zeichnungsnummer,Drawing number,Numéro du dessin,Numero disegno,図面番号,tekeningnumber,Número do desenho,Номер чертежа,Çizim numarası,0,False,Numer rysunku
25,True,True,False,False,False,,,15,True,False,Nota especial,特殊评论,Sondervermerk,Special note,Note spéciale,Note particolari,特記事項,speciale nota,Nota especial,Замечание,Özel not,0,False,Specjalna notatka
27,True,True,False,False,False,,,6,True,False,Tema,发行,Änderungszustand,Issue,Edition,Stato modifica,発行,editie,Versão,Редакция,Düzenlemek,0,False,Problem
28,True,True,False,False,False,,,10,True,False,Cambio,改变,Änderung,Change,Modification,Modifica,変更,wijziging,Alteração,Изменение,Değişiklik,0,False,Zmiana
29,True,True,False,False,False,,,10,True,False,Fecha de modificación,修改日期,Änderungsdatum,Date of modification,Date de modification,Data di modifica,変更日,wijzigingsdatum,Data de modificação,Дата изменения,Değişiklik tarihi,0,False,Data modyfikacji
30,True,True,False,False,False,,,6,True,False,Responsable de la modificación,修改通过,Änderungsbearbeiter,Modified by,Responsable de la modification,Modificato da,変更者,gewijzigd door,Modificado por,Изменено,Değiştiren,0,False,Zmodyfikowany przez
33,True,True,False,False,False,,,50,True,False,Función,功能,Funktion,Function,Fonction,Funzione,機能,functie,Função,Функция,Fonksiyon,0,False,Funkcja
36,True,True,False,False,False,,,15,True,False,Origen,原点,Ursprung,Origin,Origine,Origine,原点,oorsprong,Origem,Точка привязки,Orijin,0,False,Źródło
37,True,True,False,False,False,,,15,True,False,Reemplazos,置换,Ersatz für,Replaces,Remplace,Sostituisce,交換,vervangt,Substituído,Замены,Yerine,0,False,Zastępuje
38,True,True,False,False,False,,,15,True,False,Reemplazado por,置换通过,Ersetzt durch,Replaced by,Remplacé par,Sostituito da,交換者,vervangen door,Substituído por,Заменено,İle değiştirilmiştir ,0,False,Zastępowany przez
40,True,True,False,False,True,SheetName1,,30,True,False,Nombre 1,名称1,Benennung 1,Name 1,Nom 1,Denominazione 1,名称1,naam 1,Nome 1,Имя 1,İsim 1,0,False,Nazwa 1
41,True,True,False,False,False,,,10,True,False,Fecha de modificación (1),修改日期 (1),Bearbeitungsdatum,Date of modification (1),Date de modification (1),Data di editazione,変更日 (1),wijzigingsdatum (1),Data de modificação (1),Дата изменения (1),Değişiklik tarihi (1),0,False,Data modyfikacji (1)
42,True,True,False,False,False,,,15,True,False,Usuario,用户,Bearbeiter,User,Utilisateur,Utente,ユーザ,gebruiker,Usuário,Выполнил,Kullanıcı,0,False,Użytkownik
43,True,True,False,False,False,,,15,True,False,Aprobado,赞成,Geprüft,Approved,Approuvé,Approvato,承認,goedgekeurd,Aprovado,Утвердил,Onaylanmış,0,False,Zatwierdził
44,True,True,False,False,False,,,15,True,False,Estándar,标准,Norm,Standard,Norme,Normativa,標準,norm,Padrão,Стандарт,Standart,0,False,Standard
45,True,True,False,False,False,,,0,False,False,Proyecto,项目,Projekt,Project,Projet,Progetto,プロジェクト,project,Projeto,Проект,Proje,0,False,Projekt
46,True,True,False,False,True,,,50,True,False,Número de pedido,订货编号,Auftragsnummer,Order number,Numéro d'ordre,Numero ordine,注文番号,opdrachtnummer,Número da ordem,Номер заказа,Düzen numarası,0,False,Numer zamówienia
47,True,True,False,False,True,,,50,True,False,Pedido,订货,Auftrag,Order,Ordre,Ordine,注文,opdracht,Ordem,Заказ,Düzen,0,False,Zamówienie
48,True,True,False,False,True,SheetName2,,25,True,False,Nombre 2,名称2,Benennung 2,Name 2,Nom 2,Denominazione 2,名称2,naam 2,Nome 2,Имя 2,İsim 2,0,False,Nazwa 2
49,True,True,False,False,False,,,0,True,False,Reserva,备用,Reserve,Reserve,Réserve,Riserva,予備,reserve,Reserva,Резервная,Yedek,0,False,Rezerwa
50,True,True,False,False,False,Techdat1,,50,False,False,Datos técnicos 1,技术数据1,Technische Daten 1,Technical data 1,Données techniques 1,Dati tecnici 1,技術データ1,technische gegevens 1,Dado técnico 1,Тех.информация 1,Teknik veri 1,0,False,Dane techniczne 1
51,True,True,False,False,False,Techdat2,,50,False,False,Datos técnicos 2,技术数据2,Technische Daten 2,Technical data 2,Données techniques 2,Dati tecnici 2,技術データ2,technische gegevens 2,Dado técnico 2,Тех.информация 2,Teknik veri 2,0,False,Dane techniczne 2
52,True,True,False,False,False,Techdat3,,50,False,False,Datos técnicos 3,技术数据3,Technische Daten 3,Technical data 3,Données techniques 3,Dati tecnici 3,技術データ3,technische gegevens 3,Dado técnico 3,Тех.информация 3,Teknik veri 3,0,False,Dane techniczne 3
53,False,False,False,False,False,Techdat4,,0,False,False,Datos técnicos 4,技术数据4,Technische Daten 4,Technical data 4,Données techniques 4,Dati tecnici 4,技術データ4,technische gegevens 4,Dado técnico 4,Тех.информация 4,Teknik veri 4,0,False,Dane techniczne 4
70,True,True,False,False,False,.PLCPHYSADDR,,60,False,False,Dirección física-PLC,PLC-物理地址,SPS - Physikalische Adresse,PLC - Physical address,API - Adresse physique,PLC - indirizzo fisico,PLC - 物理アドレス,PLC - fysisch adres,PLC - Endereço Físico,ПК (PLC) - Физический адрес,PLC - Fiziksel adres,0,False,PLC - Adres fizyczny
71,True,True,False,False,False,PlcSymbAdr,,60,False,False,Dirección simbólica-PLC,PLC-符号地址,SPS - Symbolische Adresse,PLC - Symbolic address,API - Adresse symbolique,PLC - indirizzo simbolico,PLC - シンボリックアドレス,PLC - symbolisch adres,PLC - Endereço Simbólico,ПК (PLC) - Символьный адрес,PLC - Sembolik adres,0,False,PLC - Adres symboliczny
72,True,True,False,False,False,PlcComment,,60,False,False,PLC-Comentario 1,PLC-注释1,SPS - Kommentar 1,PLC - Comment 1,API - Commentaire 1,PLC - commento 1,PLC - 注釈1,PLC - commentaar 1,PLC - Comentário 1,ПК (PLC) - Комментарий 1,PLC - Yorum 1,0,False,PLC - Komentarz 1
73,True,True,False,False,False,PlcComment2,,60,False,False,PLC-Comentario 2,PLC-注释2,SPS - Kommentar 2,PLC - Comment 2,API - Commentaire 2,PLC - commento 2,PLC - 注釈2,PLC - commentaar 2,PLC - Comentário 2,ПК (PLC) - Комментарий 2,PLC - Yorum 2,0,False,PLC - Komentarz 2
86,False,False,False,False,False,Attr4UseFromACPT,,0,False,False,,有效针脚端子的使用属性,Attribut das vom aktiven Anschlagteil benutzt wird,Attribute for use from active pin terminal,Attribut pour utilisation par pièce de fixation active,Attributo dal terminale attivo,アクティブなピンターミナルからの使用属性,Attribuut gebruikt door actieve fitting ,,Атрибут для использования из текущего наконечника,Aktif pin terminalinden kullanım niteliği,0,True,Atrybut z aktywnego pinu złacza
220,False,False,False,False,False,,,25,True,False,Número de documento SAP,SAP Document Number,SAP Dokument Nummer,SAP Document Number,SAP Numéro de document,SAP Numero documento,SAPドキュメント番号,SAP document nummer,Numero do Documento SAP,Номер документа в SAP,SAP Belge Numarası,0,False,Komentarz
221,False,False,False,False,False,,,5,True,False,Versión de documento SAP,SAP Document Version,SAP Dokument Version,SAP Document Version,SAP Version de document,SAP Versione documento,SAPドキュメントバージョン,SAP document versie,Versão de Documento SAP,Версия документа в SAP,SAP Belge Sürümü,0,False,SAP Numer Dokumentu
222,False,False,False,False,False,,,5,True,False,Parte de documento SAP,SAP Document Part,SAP Dokument Teil,SAP Document Part,SAP Partie de document,SAP Parte documento,SAPドキュメントパート,SAP document deel,Documento de Componente SAP,Часть документа в SAP,SAP Belge Bölüm,0,False,SAP Wersja Dokumentu
223,False,False,False,False,False,,,5,True,False,Tipo de documento SAP,SAP Document Type,SAP Dokument Typ,SAP Document Type,SAP Type de document,SAP Tipo documento,SAPドキュメントタイプ,SAP document type,Tipo de Documento SAP,Тип документа в SAP,SAP Belge Tipi,0,False,SAP Część Dokuentu
