CrossSection,OuterDiameter,NumberOfWires,NumberOfTurns,TwistedLengthFactor
0.3240000009536743,17.0,2,30,1.06
0.5189999938011169,19.0,2,30,1.06
0.8230000138282776,8.23,2,50,1.035
0.8230000138282776,8.23,3,40,1.055
0.8230000138282776,8.23,4,40,1.07
0.8230000138282776,22.0,2,30,1.06
1.309999942779541,13.100000000000001,2,40,1.05
1.309999942779541,13.100000000000001,3,40,1.06
1.309999942779541,24.0,2,30,1.06
2.0799999237060547,20.8,2,40,1.06
2.0799999237060547,20.8,3,40,1.08
2.0799999237060547,27.0,2,30,1.06
3.309999942779541,33.0,2,30,1.06
5.260000228881836,40.0,2,30,1.06
