CROSSEC,MATID,RESISTANCE,INNER_DIA,OUTER_DIA
0.3,1,5.02e-05,0.62,1.8
0.5,1,3.27e-05,0.8,2.0
0.75,1,2.44e-05,0.98,2.2
0.85,1,2.08e-05,1.04,2.2
1.0,1,1.755e-05,1.13,2.35
1.25,1,1.43e-05,1.26,2.5
1.5,1,1.16e-05,1.38,2.7
2.0,1,8.81e-06,1.6,2.9
3.0,1,5.59e-06,1.95,3.6
5.0,1,3.52e-06,2.52,4.4
8.0,1,2.32e-06,3.19,5.5
10.0,1,2e-06,3.57,6.0
15.0,1,1.38e-06,4.37,7.0
15.0,2,1.911e-06,4.37,7.3
20.0,1,8.87e-07,5.05,8.2
20.0,2,1.416e-06,5.05,8.1
25.0,1,7.5e-07,5.64,9.4
25.0,2,1.233e-06,5.64,9.1
30.0,1,5.2e-07,6.18,10.8
30.0,2,9.44e-07,6.18,10.0
40.0,1,4.28e-07,7.14,11.4
40.0,2,7.29e-07,7.14,11.0
50.0,1,3.37e-07,7.98,13.0
50.0,2,5.79e-07,7.98,12.4
60.0,1,2.87e-07,8.74,13.6
60.0,2,4.81e-07,8.74,13.3
70.0,2,4.07e-07,9.44,14.6
85.0,1,2.15e-07,10.4,16.0
85.0,2,3.41e-07,10.4,16.0
100.0,1,1.68e-07,11.29,17.6
100.0,2,2.88e-07,11.29,17.1
