Color,ColorCode,Linetype,Type,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,DESCRIPTION_48
256,1,0,0,Negro,黑,Schwarz,Black,Noir,Nero,黒,Zwart,Preto,черный,Siyah,Czarny
266,2,0,0,Blanco,白,Weiss,White,Blanc,Bianco,白,Wit,Branco,белый,Beyaz,Biały
269,3,0,0,Rojo,红,Rot,Red,Rouge,Rosso,赤,Rood,Vermelho,красный,Kırmızı,Czerwony
270,4,0,0,Verde,绿,Grün,Green,Vert,Verde,緑,Groen,Verde,зеленый,Yeşil,Zielony
286,5,0,0,Marrón,棕,Braun,Brown,Brun,Marrone,茶,Bruin,Marrom,коричневый,Kahverangi,Brązowy
272,6,0,0,Azul,蓝,Blau,Blue,Bleu,Blu,青,Blauw,Azul,голубой,Mavi,Niebieski
313,7,0,0,Naranja,橙,Orange,Orange,Orange,Arancione,オレンジ,Oranje,Laranja,оранжевый,Turuncu,Pomarańczowy
271,8,0,0,Amarillo,黄,Gelb,Yellow,Jaune,Giallo,黄色,Geel,Amarelo,желтый,Sarı,Żółty
261,9,0,0,Violeta,紫,Violett,Violet,Violet,Viola,紫,Violet,Violeta,фиолетовый,Menekşe rengi,Fioletowy
263,10,0,0,Gris,灰,Grau,Grey,Gris,Grigio,灰色,Grijs,Cinza,серый,Gri,Szary
273,11,0,0,Rosa,粉,Rosa,Pink,Rose,Rosa,ピンク,Rose,Rosa,розовый,Pembe,Różowy
319,12,0,0,Oro,金,Gold,Gold,Or,Oro,金,Goud,Dourado,золотистый,Altınrengi,Złoty
456,13,0,0,Turquesa,青绿,Türkis,Turquoise,Turquoise,Turchese,ターコイズ,Turkoois,Turquesa,бирюзовый,Turkuaz,Turkusowy
264,14,0,0,Plata,银,Silber,Silver,Argent,Argento,銀,Zilver,Prata,серебристый,Gümüş,Srebrny
0,15,5,0,Verde/Amarillo,绿-黄,Grün/Gelb,Green-Yellow,Vert/Jaune,Verde-Giallo,緑-黄,Groen/Geel,Verde-Amarelo,желто-зеленый,Yeşil-Sarı,Żółto-Zielony
416,16,0,0,Azul oscuro,深蓝,Dunkelblau,Dark blue,Bleu foncé,Blu scuro,紺,Donkerblauw,Azul escuro,синий,Koyu Mavi,Ciemnoniebieski
,17,0,1,polyethylene,聚乙烯,Polyethylen,polyethylene,Polyéthylène,Polietilene,ポリエチレン,Polyethyleen,Polietileno,полиэтилен,polietilen,Polietylen
0,18,0,1,plastic,塑料,Kunststoff,plastic,Plastique,Plastica,プラスチック,Plastik,Plástico,пластик,plastik,plastik
0,19,0,1,copper,铜,Kupfer,copper,Cuivre,Rame,カッパー,Koper,Cobre,медный,bakır,miedź
0,20,0,0,Transparente,透明,Transparent,Transparent,Transparent,Trasparente,透明,Transparent,Transparente,Прозрачный,Saydam,Przeźroczysty
0,21,0,0,GrisRosa,灰品色,GrauRosa,GreyPink,GrisRose,GrigioRosa,グレーピンク,GrijsRoze,Cinza e Rosa,Серо-розовый,GriPembe,SzaroRóżowy
0,22,0,0,RojoAzul,红蓝色,RotBlau,RedBlue,RougeBleu,RossoBlu,赤青,RoodBlau,Vermelho e Azul,Красно-синий,KırmızıMavi,CzerwonoNiebieski
0,23,0,0,BlancoVerde,白绿色,WeissGrün,WhiteGreen,BlancVert,BiancoVerde,白緑,WitGroen,Branco e Verde,Бело-зеленый,BeyazYeşil,BiałoZielony
0,24,0,0,MarrónVerde,棕绿色,BraunGrün,BrownGreen,BrunVert,MarroneVerde,茶緑,BruinGroen,Marrom e Verde,Коричнево-зеленый,KahverangiYeşil,BrązowoZielony
0,25,0,0,BlancoAmarillo,白黄色,WeissGelb,WhiteYellow,BlancJaune,BiancoGiallo,白黄,WitGeel,Branco e Amarelo,Бело-желтый,BeyazSarı,BiałoŻółty
0,26,0,0,AmarilloMarrón,黄棕色,GelbBraun,YellowBrown,JauneBrun,GialloMarrone,黄茶,GeelBruin,Amarelo e Marrom,Желто-коричневый,SarıKahverengi,ŻółtoBrązowy
0,27,0,0,BlancoGris,灰白色,WeissGrau,WhiteGrey,BlancGris,BiancoGrigio,白グレー,WitGrijs,Branco e Cinza,Серо-коричневый,BeyazGri,BiałoSzary
0,28,0,0,GrisMarrón,灰褐色,GrauBraun,GreyBrown,GrisBrun,GrigioMarrone,グレー茶,GrijsBruin,Cinza e Marrom,Серо-коричневый (1),GriKahverengi,SzaroBrązowy
0,29,0,0,BlancoRosa,白品色,WeissRosa,WhitePink,BlancRose,BiancoRosa,白ピンク,WitRoze,Branco e Rosa,Бело-розовый,BeyazPembe,BiałoRóżowy
0,30,0,0,RosaMarrón,品棕色,RosaBraun,PinkBrown,RoseBrun,ViolaMarrone,ピンク茶,RozeBruin,Rosa e Marrom,Розово-коричневый,PembeKahverengi,RóżowoBrązowy
0,31,0,0,BlancoAzul,白蓝色,WeissBlau,WhiteBlue,BlancBleu,BiancoBlu,白青,WitBlau,Branco e Azul,Бело-синий,BeyazMavi,BiałoNiebieski
0,32,0,0,MarrónAzul,棕蓝色,BraunBlau,BrownBlue,BrunBleu,MarroneBlu,茶青,BruinBlau,Marrom e Azul,Коричнево-синий,KahverengiMavi,BrazowoNiebieski
0,33,0,0,BlancoRojo,白红色,WeissRot,WhiteRed,BlancRouge,BiancoRosso,白赤,WitRood,Branco e Vermelho,Бело-красный,BeyazKırmızı,BiałoCzerwony
0,34,0,0,MarrónRojo,红棕色,BraunRot,BrownRed,BrunRouge,MarroneRosso,茶赤,BruinRood,Marrom e Vermelho,Коричнево-красный,KahverengiKırmızı,BrązowoCzerwony
0,35,0,0,BlancoNegro,白黑色,WeissSchwarz,WhiteBlack,BlancNoir,BiancoNero,白黒,WitZwart,Branco e Preto,Бело-черный,BeyazSiyah,BiałoCzarny
0,36,0,0,MarrónNegro,棕黑色,BraunSchwarz,BrownBlack,BrunNoir,MarroneNero,茶黒,BruinZwart,Marrom e Preto,Коричнево-черный,KahverengiSiyah,BrązowoCzarny
0,37,0,0,GrisVerde,灰绿色,GrauGrün,GreyGreen,GrisVert,GrigioVerde,グレー緑,GrijsGroen,Cinza e Verde,Серо-зеленый,GriYeşil,SzaroZielony
0,38,0,0,AmarilloGris,黄灰色,GelbGrau,YellowGrey,JauneGris,GialloGrigio,黄グレー,GeelGrijs,Amarelo e Cinza,Желто-Серый,SarıGri,ŻółtoSzary
0,39,0,0,RosaVerde,品绿色,RosaGrün,PinkGreen,RoseVert,RosaGrigio,ピンク緑,RozeGroen,Rosa e Verde,Розово-зеленый,PembeYeşil,RóżowoZielony
0,40,0,0,AmarilloRosa,黄品色,GelbRosa,YellowPink,JauneRose,GialloRosa,黄ピンク,GeelRoze,Amarelo de Rosa,Желто-розовый,SarıPembe,ŻółtoRóżowy
0,41,0,0,VerdeAzul,蓝绿色,GrünBlau,GreenBlue,VertBleu,VerdeBlu,緑青,GroenBlau,Verde e Azul,Зелено-синий,YeşilMavi,ZielonoNiebieski
0,42,0,0,AmarilloAzul,黄蓝色,GelbBlau,YellowBlue,JauneBleu,GialloBlu,黄青,GeelBlau,Amarelo de Azul,Желто-синий,SarıMavi,ŻółtoNiebieski
0,43,0,0,VerdeRojo,绿红色,GrünRot,GreenRed,VertRouge,VerdeRosso,緑赤,GroenRood,Verde e Vermelho,Зелено-красный,YeşilKırmızı,ZielonoCzerwony
0,44,0,0,AmarilloRojo,黄红色,GelbRot,YellowRed,JauneRouge,GialloRosso,黄赤,GeelRood,Amarelo e Vermelho,Желто-красный,SarıKırmızı,ŻółtoCzerwony
0,45,0,0,VerdeNegro,墨绿色,GrünSchwarz,GreenBlack,VertNoir,VerdeNero,緑黒,GroenZwart,Verde e Preto,Зелено-черный,YeşilSiyah,ZielonoCzarny
0,46,0,0,AmarilloNegro,黑黄色,GelbSchwarz,YellowBlack,JauneNoir,GialloNero,黄黒,GeelZwart,Amarelo e Preto,Желто-черный,SarıSiyah,ŻółtoCzarny
0,47,0,0,GrisAzul,灰蓝色,GrauBlau,GreyBlue,GrisBleu,GrigioBlu,グレー青,GrijsBlau,Cinza e Azul,Серо-синий,GriMavi,SzaroNiebieski
0,48,0,0,RosaAzul,品蓝色,RosaBlau,PinkBlue,RoseBleu,RosaBlu,ピンク青,RozeBlau,Rosa e Azul,Розово-синий,PembeMavi,RóżowoNiebieski
0,49,0,0,GrisRojo,灰红色,GrauRot,GreyRed,GrisRouge,GrigioRosso,グレー赤,GrijsRood,Cinza e Vermelho,Серо-красный,GriKırmızı,SzaroCzerwony
0,50,0,0,RosaRojo,品红色,RosaRot,PinkRed,RoseRouge,ViolaRosso,ピンク赤,RozeRood,Rosa e Vermelho,Розово-красный,PembeKırmızı,RóżowoCzerwony
0,51,0,0,GrisNegro,黑灰色,GrauSchwarz,GreyBlack,GrisNoir,GrigioNero,グレー黒,GrijsZwart,Cinza e Preto,Серо-черный,GriSiyah,SzaroCzarny
0,52,0,0,RosaNegro,品黑色,RosaSchwarz,PinkBlack,RoseNoir,RosaNero,ピンク黒,RozeZwart,Rosa e Preto,Розово-черный,PembeSiyah,RóżowoCzarny
0,53,0,0,AzulNegro,蓝黑色,BlauSchwarz,BlueBlack,BleuNoir,BluNero,青黒,BlauZwart,Azul e Preto,Сине-черный,MaviSiyah,NiebieskoCzarny
0,54,0,0,RojoNegro,红黑色,RotSchwarz,RedBlack,RougeNoir,RossoNero,赤黒,RoodZwart,Vermelho e Preto,Красно-черный,KırmızıSiyah,CzerwonoCzarny
0,55,0,0,BlancoNaranja,白橘色,WeissOrange,WhiteOrange,BlancOrange,BiaoncoArancione,白オレンジ,WitOranje,Branco e Laranja,Бело-оранжевый,BeyazTuruncu,BiałoPomarańczowy
0,56,0,0,BlancoMarrón,白棕色,WeissBraun,WhiteBrown,BlancBrun,BiancoMarrone,白茶,WitBruin,Branco e Marrom,Бело-коричневый,BeyazKahverengi,BiałoBrązowy
272,60,0,1,Poliamida,聚酰胺,Polyamid,polyamid,polyamide,Poliamide,ポリアミド,polyamide,Poliamida,полиамидный,polyamid,Poliamid
272,61,0,1,Poliuretano,聚氨酯,Polyurethan,polyurethan,polyuréthane,Poliuretano,ポリウレタン,polyurethan,Poliuretano,полиуретановый,poliüretan,Poliuretan
0,62,0,0,VerdeBlanco,绿色白,GrünWeiss,GreenWhite,VertBlanc,VerdeBianco,緑白,GroenWit,Verde e Branco,зеленый-Бело,YeşilBeyaz,ZielonoBiały
0,63,0,0,AmarilloBlanco,黄色白,GelbWeiss,YellowWhite,JauneBlanc,GialloBianco,黄白,GeelWit,Amarelo e Branco,желтый-Бело,SarıBeyaz,ŻółtoBiały
0,64,0,0,GrisBlanco,灰色白,GrauWeiss,GreyWhite,GrisBlanc,GrigioBianco,グレー白,GrijsWit,Cinza e Branco,коричневый-Бело,GriBeyaz,SzaroBiały
0,65,0,0,RosaBlanco,品色白,RosaWeiss,PinkWhite,RoseBlanc,ViolaBianco,ピンク白,RozeWit,Rosa e Branco,розовый-Бело,PembeBeyaz,RóżowoBiały
0,66,0,0,AzulBlanco,蓝色白,BlauWeiss,BlueWhite,BleuBlanc,BluBianco,青白,BlauWit,Azul e Branco,синий-Бело,MaviBeyaz,NiebieskoBiały
0,67,0,0,RojoBlanco,红色白,RotWeiss,RedWhite,RougeBlanc,RossoBianco,赤白,RoodWit,Vermelho e Branco,красный-Бело,KırmızıBeyaz,CzerwonoBiały
0,68,0,0,NegroBlanco,黑色白,SchwarzWeiss,BlackWhite,NoirBlanc,NeroBianco,黒白,ZwartWit,Preto e Branco,черный-Бело,SiyahBeyaz,CzarnoBiały
